PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.2;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar la supervisión del rendimiento de aplicaciones para los servicios en la nube;alto;requisito;disponibilidad;automático;;FAIL;There are no AppInsight configured in subscription Azure subscription 1.;AppInsights;appinsights_ensure_is_configured;False;AppInsights
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r3.az.de.1;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Se deberá utilizar la evaluación de vulnerabilidades con Defender y el aseguramiento de la notificación de alertas de severidad alta.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not another correct email configured for subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_additional_email_configured_with_a_security_contact;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r2.az.de.1;Análisis dinámico;op.mon.3.r2 ;operacional;monitorización del sistema;Activar log analícs de Defender para la detección automática de eventos de seguridad.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Defender Auto Provisioning Log Analytics Agents from subscription Azure subscription 1 is set to OFF.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/autoProvisioningSettings/default;defender_auto_provisioning_log_analytics_agent_vms_on;False;default
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.5;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de almacenamiento en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender Auto Provisioning Log Analytics Agents from subscription Azure subscription 1 is set to OFF.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/autoProvisioningSettings/default;defender_auto_provisioning_log_analytics_agent_vms_on;False;default
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r3.az.de.1;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Se deberá utilizar la evaluación de vulnerabilidades con Defender y el aseguramiento de la notificación de alertas de severidad alta.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Vulnerability assessment is not set up in all VMs in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/resourceGroups/TPOT-RESOURCES/providers/Microsoft.Compute/virtualMachines/tpot-vm/providers/Microsoft.Security/assessments/ffff0522-1e88-47fc-8382-2a80ba848f5d;defender_auto_provisioning_vulnerabilty_assessments_machines_on;False;ffff0522-1e88-47fc-8382-2a80ba848f5d
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for ARM from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/Arm;defender_ensure_defender_for_arm_is_on;False;Defender plan ARM
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Azure SQL DB Servers from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/SqlServers;defender_ensure_defender_for_azure_sql_databases_is_on;False;Defender plan Azure SQL DB Servers
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Containers from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/Containers;defender_ensure_defender_for_containers_is_on;False;Defender plan Container Registries
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Cosmos DB from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/CosmosDbs;defender_ensure_defender_for_cosmosdb_is_on;False;Defender plan Cosmos DB
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Databases from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/SqlServers;defender_ensure_defender_for_databases_is_on;False;Defender plan Databases
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for DNS from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/Dns;defender_ensure_defender_for_dns_is_on;False;Defender plan DNS
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.acc.6.r1.az.eid.3;Contraseñas;op.acc.6.r1;operacional;control de acceso;Habilitar la protección de Defender para los KEY Vault;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Defender plan Defender for KeyVaults from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/KeyVaults;defender_ensure_defender_for_keyvault_is_on;False;Defender plan KeyVaults
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Open-Source Relational Databases from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/OpenSourceRelationalDatabases;defender_ensure_defender_for_os_relational_databases_is_on;False;Defender plan Open-Source Relational Databases
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r1.az.ev.1;Correlación de eventos;op.mon.3.r1 ;operacional;monitorización del sistema;Habilitar el monitoreo del servidor en defender;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for SQL Server VMs from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;defender_ensure_defender_for_sql_servers_is_on;False;Defender plan SQL Server VMs
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.5;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de almacenamiento en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Storage Accounts from subscription Azure subscription 1 is set to OFF (pricing tier not standard).;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/pricings/StorageAccounts;defender_ensure_defender_for_storage_is_on;False;Defender plan Storage Accounts
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;No IoT Security Solutions found in the subscription Azure subscription 1.;IoT Hub Defender;defender_ensure_iot_hub_defender_is_on;False;IoT Hub Defender
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;PASS;Microsoft Defender for Cloud Apps is enabled for subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/settings/MCAS;defender_ensure_mcas_is_enabled;False;MCAS
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.az.nw.1;Vigilancia;op.mon.3 ;operacional;monitorización del sistema;Habilitar Network Watcher para registrar y mantener la información de seguridad centralizada.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Notifiy alerts are not enabled for severity high in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_ensure_notify_alerts_severity_is_high;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.az.nw.1;Vigilancia;op.mon.3 ;operacional;monitorización del sistema;Auditoría delos registros de los servicios de GCP con la suficiente retención para la vigilancia de la información;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Notifiy alerts are not enabled for severity high in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_ensure_notify_alerts_severity_is_high;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r3.az.de.1;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Se deberá utilizar la evaluación de vulnerabilidades con Defender y el aseguramiento de la notificación de alertas de severidad alta.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Notifiy alerts are not enabled for severity high in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_ensure_notify_alerts_severity_is_high;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;mp.com.3.az.nw.1;Protección de la integridad y de la autenticidad;mp.com.3 ;medidas de protección;protección de las comunicaciones;Asegurarse de que la comunicación del frontal sea a través de HTTPS.;alto;requisito;integridad,autenticidad;automático;;FAIL;Notifiy alerts are not enabled for severity high in subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_ensure_notify_alerts_severity_is_high;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r4.az.de.1;Observatorios digitales;op.mon.3.r4 ;operacional;monitorización del sistema;Se deberá asegurar las notificaciones por correo a los propietarios a través de Defender.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;The Owner role is not notified for subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/securityContacts/default;defender_ensure_notify_emails_to_owners;False;
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2025-02-19 10:48:28.546737;op.mon.3.r3.az.de.2;Ciberamenazas avanzadas;op.mon.3.r3 ;operacional;monitorización del sistema;Habilitar la protección de amenazas avanzadas para la detección de ciberamenazas en la nube.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Microsoft Defender for Endpoint integration is enabled for subscription Azure subscription 1.;/subscriptions/137ea479-0994-4597-b7f8-c87bc2c32218/providers/Microsoft.Security/settings/WDATP;defender_ensure_wdatp_is_enabled;False;WDATP
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: sibusisosekkhotogmail.onmicrosoft.com;global;2025-02-19 10:48:28.546737;op.acc.5.r4.az.eid.1;Certificados en dispositivo físico;op.acc.5.r4;operacional;control de acceso;Habilitación de autenticación MFA para usuarios externos;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: sibusisosekkhotogmail.onmicrosoft.com;global;2025-02-19 10:48:28.546737;op.acc.6.az.eid.1;Mecanismo de autenticación (usuarios de la organización);op.acc.6;operacional;control de acceso;El acceso del usuario será gestionado desde Microsoft Entra;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: sibusisosekkhotogmail.onmicrosoft.com;global;2025-02-19 10:48:28.546737;op.acc.6.r4.az.mfa.1;Certificados en dispositivo físico;op.acc.6.r4;operacional;control de acceso;Habilitación de autenticación MFA para usuarios de la organización;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: sibusisosekkhotogmail.onmicrosoft.com;global;2025-02-19 10:48:28.546737;op.acc.1.az.r1.eid.1;Identificacion Avanzada;op.acc.1.r1;operacional;control de acceso;La asignación del usuario deberá realizarse de manera única, singularizando a la persona asociada a cada identificador en Microsoft Entra;alto;refuerzo;trazabilidad,autenticidad;automático;;PASS;There are 0 global administrators.;5e4fa88b-eb79-4a8e-b2a8-e9c2b4ab8ceb;entra_global_admin_in_less_than_five_users;False;Global Administrator
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: sibusisosekkhotogmail.onmicrosoft.com;global;2025-02-19 10:48:28.546737;op.acc.2.az.rbac.1;Requisitos de acceso;op.acc.2;operacional;control de acceso;Se debe aplicar la restricción de acceso al portal de Azure y la habilitación de Microsoft Entra Protection para minimizar los riesgos de inicio de sesión y comportamientos inusuales.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Non-privileged users are able to create security groups via the Access Panel and the Azure administration portal.;authorizationPolicy;entra_policy_default_users_cannot_create_security_groups;False;Authorization Policy
